,Incident_Number,CreateDatetime,Call_Type,Source,Progress,Priority,Dispositions,Block_Address,City,ZIP_Code,NonBerkeley_Address,ObjectId_x,Statute,Statute_Description,Statute_Type,Arrest_Type,Age,Height,Race,Sex,Weight,Case_Number,ObjectId_y
36,2025-00044294,2025/09/29 15:33:37+00,CFS 602L - Trespassing,Telephone,In Progress,Level 3,"Arrest only (no Case), RIPA",1800 BERKELEY WAY,BERKELEY,94703.0,,1442,Warr - BPD (M),Misdemeanor Warrant,Penal Code,Summoned/Cited IBR,61,5 ft. 10 in.,White,Male,155.0,2025-00044294,189
37,2025-00044243,2025/09/29 14:08:34+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1900 SHATTUCK AVE,BERKELEY,94704.0,,1449,1203.2 - F; 422 (A) - F,PROBATION VIOLATION: REARREST/REVOKE; THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code; Penal Code,On-View Arrest IBR,45,5 ft. 7 in.,Black,Male,150.0,2025-00044243,191
38,2025-00044234,2025/09/29 10:40:20+00,CFS SUSCIR - Susp. Circ.,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1700 ALCATRAZ AVE,BERKELEY,94703.0,,1460,1203.2 - F; 594 (B)(1); 11364(A); 148(A)(1),PROBATION VIOLATION: REARREST/REVOKE; VANDALISM ($400 OR MORE); POSSESS UNLAWFUL PARAPHERNALIA; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Health and Safety; Penal Code,On-View Arrest IBR,37,6 ft. 5 in.,Black,Male,350.0,2025-00044234,195
39,2025-00044277,2025/09/29 18:00:31+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,1490,484 (A) - (building),PETTY THEFT OF PROPERTY FROM BUILDING,Penal Code,Summoned/Cited IBR,54,5 ft. 4 in.,Black,Female,152.0,2025-00044277,185
40,2025-00044331,2025/09/30 00:40:18+00,CFS 314 - Indecent Exposure,911 Call,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",2100 HASTE ST,BERKELEY,94704.0,,1528,166 (A)(4); 314 (1) - M,CONTEMPT OF COURT: DISOBEY COURT ORDER; INDECENT EXPOSURE,Penal Code; Penal Code,On-View Arrest IBR,46,5 ft. 10 in.,Black,Male,180.0,2025-00044331,180
41,2025-00044463,2025/09/30 19:13:19+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, Primary Case (Case or Cold Theft), RIPA",1900 CENTER ST,BERKELEY,94704.0,,1551,11395(B)(1) (F); 11377 (A) - M; 11364(A); 135,POSS CNTL SUB W/2 OR MORE PRIORS; POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; DESTROY/CONCEAL EVIDENCE,Health and Safety; Health and Safety; Health and Safety; Penal Code,On-View Arrest IBR,63,5 ft. 9 in.,White,Male,140.0,2025-00044463,170
42,2025-00044459,2025/09/30 18:56:53+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",1900 ALLSTON WAY,BERKELEY,94704.0,,1554,148.9 (A),GIVE FALSE ID TO POLICE OFFICER,Penal Code,On-View Arrest IBR,18, ft.  in.,Black,Male,,2025-00044459,172
43,2025-00044453,2025/09/30 18:31:53+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1900 CENTER ST,BERKELEY,94704.0,,1558,Warr - Out (F); 11350 (A) - M,Outside Warrant Felony; POSSESS NARCOTIC CONTROLLED SUBSTANCE,Penal Code; Health and Safety,On-View Arrest IBR,61,5 ft. 11 in.,Hispanic,Male,20.0,2025-00044453,174
44,2025-00044434,2025/09/30 16:19:19+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Arrest only (no Case), Primary Case (Case or Cold Theft)",SHATTUCK AVE  &  ASHBY AVE,BERKELEY,94705.0,,1585,666.1(A)(1) (F); 484 (A) - (Shoplift); Warr - Out (M); 11350 (A) - M,Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING; Outside Warrant Misdemeanor; POSSESS NARCOTIC CONTROLLED SUBSTANCE,Penal Code; Penal Code; Penal Code; Health and Safety,On-View Arrest IBR,39,5 ft. 11 in.,Black,Male,152.0,2025-00044434,176
45,2025-00044120,2025/09/28 19:45:09+00,CFS KNOCK - Knock & Talk,Telephone,In Progress,Level 1,"Arrest only (no Case), Incident Report",3000 SAN PABLO AVE,BERKELEY,94702.0,,1601,Warr - Out (F),Outside Warrant Felony,Penal Code,Taken into Custody IBR,32,5 ft. 11 in.,White,Male,199.0,2025-00044120,55
46,2025-00043872,2025/09/27 05:48:42+00,CFS 415 - Disturbance,911 Call,Cold Report,Level 4,Primary Case (Case or Cold Theft),ALLSTON WAY  &  4TH ST,BERKELEY,94710.0,,1666,11364(A); 422 (A) - F,POSSESS UNLAWFUL PARAPHERNALIA; THREATEN CRIME WITH INTENT TO TERRORIZE,Health and Safety; Penal Code,On-View Arrest IBR,62,5 ft. 6 in.,White,Female,190.0,2025-00043872,73
47,2025-00044207,2025/09/29 05:20:33+00,CFS 20001 - Hit & Run Injuries,Officer Initiated,In Progress,Level 1,Primary Case (Case or Cold Theft),SHATTUCK AVE  &  BLAKE ST,BERKELEY,94704.0,,1703,20002 (A); 23152 (B); 23152 (A); 273A (A) - F,Hit & run property damage: only; owner required info exchange; DUI ALCOHOL/0.08 PERCENT; DUI ALCOHOL; WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH,Vehicle Code; Vehicle Code; Vehicle Code; Penal Code,On-View Arrest IBR,29,5 ft. 8 in.,Black,Female,180.0,2025-00044207,196
48,2025-00044027,2025/09/28 03:31:28+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),2800 ADELINE ST,BERKELEY,94703.0,,1742,666.1(A)(1) (F); 1203.2 - F; 484 (A),Shoplifting: FELONY THEFT WITH 2 PRIORS; PROBATION VIOLATION: REARREST/REVOKE; PETTY THEFT (ALL OTHER),Penal Code; Penal Code; Penal Code,On-View Arrest IBR,25,6 ft. 2 in.,Black,Male,175.0,2025-00044027,57
49,2025-00044024,2025/09/28 03:06:11+00,CFS 1181 - Minor Injuries,911 Call,In Progress,Level 1,"Collision Report, Primary Case (Case or Cold Theft), Arrest only (no Case)",2600 10TH ST,BERKELEY,94710.0,,1752,23152 (A); 273A (A) - F; 243(B) (Simp.); 148(A)(1); 69 - F (Agg.),DUI ALCOHOL; WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH; BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH; OBSTRUCT/RESIST EXECUTIVE OFFICER (AGGRAVATED),Vehicle Code; Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,34,5 ft. 2 in.,Other,Female,108.0,2025-00044024,60
50,2025-00043915,2025/09/27 11:19:01+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",SAN PABLO AVE  &  DERBY ST,BERKELEY,94702.0,,1754,23152 (B),DUI ALCOHOL/0.08 PERCENT,Vehicle Code,On-View Arrest IBR,29,5 ft. 8 in.,Black,Male,150.0,2025-00043915,67
51,2025-00044140,2025/09/28 22:06:06+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1600 DERBY ST,BERKELEY,94703.0,,1769,647(I); 647(H); 166 (A)(4),PEEK INTO INHABITED BUILDING W/LOITERING; DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,32,6 ft. 0 in.,Black,Male,160.0,2025-00044140,53
52,2025-00043905,2025/09/27 09:08:50+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1700 ADDISON ST,BERKELEY,94703.0,,1816,647(F); 148.9 (A),DISORDERLY CONDUCT:ALCOHOL; GIVE FALSE ID TO POLICE OFFICER,Penal Code; Penal Code,On-View Arrest IBR,61,6 ft. 0 in.,Black,Male,150.0,2025-00043905,70
53,2025-00043980,2025/09/27 21:02:43+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2700 SAN PABLO AVE,BERKELEY,94702.0,,1851,1203.2 - F; Warr - BPD (F); 11364(A); 273.5 - Agg; 207(A),PROBATION VIOLATION: REARREST/REVOKE; Felony Warrant; POSSESS UNLAWFUL PARAPHERNALIA; CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON; KIDNAPPING,Penal Code; Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,43,6 ft. 0 in.,Black,Male,230.0,2025-00043980,64
54,2025-00043466,2025/09/25 05:53:56+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),2500 ACTON ST,BERKELEY,94702.0,,2032,273A (A) - F,WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH,Penal Code,On-View Arrest IBR,57,5 ft. 11 in.,Black,Male,192.0,2025-00043466,129
55,2025-00043791,2025/09/26 22:54:12+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,2054,666.1(A)(1) (F); 484 (A),All other larceny: FELONY THEFT WITH 2 PRIOR; PETTY THEFT (ALL OTHER),Penal Code; Penal Code,On-View Arrest IBR,62,5 ft. 7 in.,Black,Female,180.0,2025-00043791,76
56,2025-00043792,2025/09/26 22:49:54+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),700 HARRISON ST,BERKELEY,94710.0,,2056,1203.2 - F; 602(O),PROBATION VIOLATION: REARREST/REVOKE; TRESPASS:REFUSE TO LEAVE PROPERTY,Penal Code; Penal Code,On-View Arrest IBR,32,6 ft. 5 in.,Black,Male,171.0,2025-00043792,80
